time,Speed1,Speed2,x1,x2,100.0,150.0,75.0
4.0,-17.22222,-17.22222,-4.4448,-4.4448
4.025,-17.22222,-17.22222,-4.87536,-4.87536
4.05,-17.22222,-17.22222,-5.30592,-5.30592
4.075,-17.22222,-17.22222,-5.73648,-5.73648
4.1,-17.22222,-17.22222,-6.16704,-6.16704
4.125,-17.22222,-17.22222,-6.5976,-6.5976
4.15,-17.22222,-17.22222,-7.02816,-7.02816
4.175,-17.22222,-17.22222,-7.45872,-7.45872
4.2,-17.22222,-17.22222,-7.88928,-7.88928
4.225,-17.22222,-17.22222,-8.31984,-8.31984
4.25,-17.22222,-17.22222,-8.7504,-8.7504
4.275,-17.22222,-17.22222,-9.18096,-9.18096
4.3,-17.22222,-17.22222,-9.61152,-9.61152
4.325,-17.22222,-17.22222,-10.04208,-10.04208
4.35,-17.22222,-17.22222,-10.47264,-10.47264
4.375,-17.22222,-17.22222,-10.9032,-10.9032
4.4,-17.22222,-17.22222,-11.33376,-11.33376
4.425,-17.22222,-17.22222,-11.76432,-11.76432
4.45,-17.22222,-17.22222,-12.19488,-12.19488
4.475,-17.22222,-17.22222,-12.62544,-12.62544
4.5,-17.22222,-17.22222,-13.056,-13.056
4.525,-17.22222,-17.22222,-13.48656,-13.48656
4.55,-17.22222,-17.22222,-13.91712,-13.91712
4.575,-17.22222,-17.22222,-14.34768,-14.34768
4.6,-17.22222,-17.22222,-14.77824,-14.77824
4.625,-17.22222,-17.22222,-15.2088,-15.2088
4.65,-17.22222,-17.22222,-15.63936,-15.63936
4.675,-17.22222,-17.22222,-16.06992,-16.06992
4.7,-17.22222,-17.22222,-16.50048,-16.50048
4.725,-17.22222,-17.22222,-16.93104,-16.93104
4.75,-17.22222,-17.22222,-17.3616,-17.3616
4.775,-17.22222,-17.22222,-17.79216,-17.79216
4.8,-17.22222,-17.22222,-18.22272,-18.22272
4.825,-17.22222,-17.22222,-18.65328,-18.65328
4.85,-17.22222,-17.22222,-19.08384,-19.08384
4.875,-17.22222,-17.22222,-19.5144,-19.5144
4.9,-17.22222,-17.22222,-19.94496,-19.94496
4.925,-17.22222,-17.22222,-20.37552,-20.37552
4.95,-17.22222,-17.22222,-20.80608,-20.80608
4.975,-17.22222,-17.22222,-21.23664,-21.23664
5.0,-17.22222,-17.22222,-21.6672,-21.6672
